Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9
917,527,916,47,805,472,641,601,502,630
47,597,740,950,385,652,308,567,421,456
644,594,82,280,366,597,552,935,344,909
521,230,535,290,362,342,414,128,160,323
142,710,40,484,44,786,265,360,612,38
114,359,312,840,692,434,173,694,591,284
860,214,172,385,480,739,469,530,955,471
627,322,38,876,961,236,723,246,358,780
907,122,670,539,242,908,611,759,928,724
741,490,168,323,693,202,329,736,864,824
898,135,386,733,220,24,349,128,17,729
590,189,746,324,646,540,804,702,718,353
881,17,634,260,973,752,817,233,74,851
577,454,28,809,11,282,391,839,26,368
953,279,466,454,939,199,593,769,887,877
715,548,589,642,740,793,19,803,237,369
854,616,496,237,547,853,453,127,828,604
516,195,729,230,305,584,641,39,887,125
95,528,665,861,617,705,715,935,273,613
198,512,328,941,342,623,929,285,880,326
277,474,772,288,490,396,439,696,752,804
506,988,691,521,572,341,359,326,874,821
948,988,532,692,262,166,294,774,619,482
500,779,826,434,458,940,633,941,636,900
359,162,363,333,127,210,747,834,202,548
794,48,672,459,265,332,526,538,317,726
283,876,545,697,831,779,629,587,796,602
331,358,450,931,914,354,513,452,934,688
603,662,633,518,358,444,908,823,301,937
877,449,28,270,412,396,768,192,791,420
716,126,185,337,558,269,426,215,573,405
114,678,26,786,639,767,151,62,76,270
749,666,283,62,323,367,333,299,236,944
587,269,792,561,63,942,504,836,799,346
677,842,526,161,195,984,575,875,492,66
106,279,278,246,870,684,158,337,276,497
767,690,245,921,933,921,134,124,350,450
370,653,671,926,705,228,998,73,760,345
909,429,567,288,830,87,503,834,148,416
573,201,46,256,790,888,121,971,452,61
599,458,461,999,969,207,47,468,480,600
796,252,726,292,932,184,292,732,755,421
407,89,534,294,163,110,311,217,480,38
29,818,523,541,355,255,349,596,826,681
882,719,901,257,10,932,192,546,939,209
942,164,142,851,821,933,884,203,469,127
606,845,560,624,165,677,972,600,404,723
799,969,725,629,345,703,538,147,641,589
656,923,148,647,14,412,476,673,842,546
33,946,992,733,630,818,178,67,479,705
839,129,255,480,237,179,320,27,560,323
144,229,668,617,708,948,67,328,499,997
259,140,88,208,256,408,887,56,921,297
228,247,481,253,595,122,575,660,909,413
87,155,334,565,243,362,873,578,429,589
322,817,966,871,794,969,488,245,519,893
380,126,454,493,397,845,12,420,907,600
300,833,424,639,789,661,53,44,156,112
991,174,38,78,530,283,137,334,397,228
861,43,52,444,585,602,995,648,548,942
254,683,625,190,959,703,674,633,647,381
731,600,308,981,572,482,604,491,510,448
732,293,867,265,699,893,426,616,196,468
467,61,657,89,511,36,943,576,309,167
142,859,578,521,549,796,193,355,525,492
427,636,637,948,350,346,737,349,874,79
330,211,403,750,331,414,510,512,748,95
288,768,505,861,271,98,90,180,163,806
916,675,640,334,529,68,374,84,366,753
66,210,163,32,360,461,904,596,319,515
391,911,505,256,114,401,313,572,448,213
679,222,521,595,555,755,212,139,262,626
72,30,208,380,185,509,569,436,907,764
678,824,218,217,732,47,326,615,423,708
352,363,52,829,819,804,663,739,928,355
856,732,890,813,616,906,15,815,997,718
264,770,594,615,63,381,394,926,884,17
613,390,730,327,469,727,39,989,546,163
62,528,223,212,144,989,937,832,83,82
894,398,371,301,545,863,766,98,738,80
407,37,964,862,49,679,543,268,784,434
756,730,458,259,938,632,997,983,984,830
741,536,469,678,160,200,197,847,929,686
181,648,276,107,702,370,218,101,854,565
901,23,753,219,865,419,463,352,775,561
107,485,64,744,173,258,497,399,291,608
800,877,432,237,536,206,311,619,535,175
619,725,224,82,283,133,667,111,491,237
560,684,502,34,341,827,267,848,625,852
204,245,158,803,97,229,64,802,318,12
753,707,473,658,941,148,941,681,549,780
338,383,804,584,787,99,585,938,600,781
274,373,193,493,26,668,387,960,36,734
99,80,321,577,342,100,364,260,615,45
957,434,613,919,300,186,783,519,210,578
661,60,626,262,259,757,335,51,817,327
156,753,43,80,990,137,760,907,744,451
191,240,157,558,820,606,685,208,648,810
723,160,476,263,415,265,884,762,88,308
417,710,322,757,762,930,467,62,193,327
534,169,866,719,966,394,831,167,339,400
560,711,829,208,939,104,193,514,58,201
198,526,500,519,625,67,499,552,264,145
509,205,610,824,87,222,475,159,242,941
661,843,952,572,325,249,185,904,325,787
306,587,219,55,163,908,173,156,570,728
684,310,436,219,829,260,814,266,809,786
978,551,336,407,901,273,52,828,727,380
209,101,732,941,315,605,705,948,125,822
667,278,858,901,340,654,148,810,721,722
340,422,351,479,380,874,450,83,861,326
829,647,794,876,531,313,700,383,771,376
570,416,811,80,797,624,210,96,779,797
65,51,774,673,642,694,754,207,366,987
580,13,230,904,583,635,705,632,802,835
138,571,230,686,446,835,964,420,916,112
845,386,849,530,874,155,205,796,760,509
775,320,47,256,439,610,264,878,392,111
30,548,752,408,54,916,488,554,267,533
562,804,365,481,839,742,27,207,445,919
109,853,215,148,341,485,830,143,857,302
496,619,280,465,156,898,486,670,14,455
771,44,550,319,464,806,672,132,504,694
642,867,340,825,873,312,706,408,925,421
499,579,890,508,674,201,860,756,419,384
317,169,82,255,74,993,923,486,806,236
255,17,846,116,350,945,394,410,808,735
938,413,20,936,665,107,749,375,817,647
125,12,133,843,794,297,478,294,678,291
862,492,351,655,21,696,394,428,19,772
364,27,514,930,869,418,381,234,374,804
618,476,797,286,187,378,290,50,285,218
232,936,318,213,417,52,860,857,247,514
627,187,216,131,603,412,70,707,800,217
446,275,722,365,814,707,582,467,745,919
545,661,16,242,604,830,76,984,828,828
588,950,48,673,79,784,730,478,598,520
208,775,574,392,878,874,61,624,913,544
486,344,76,428,194,826,368,143,196,890
664,407,398,739,720,205,656,195,508,318
604,230,851,797,895,785,447,132,559,604
661,235,477,112,165,602,459,441,330,935
244,157,716,769,842,760,192,845,178,546
121,735,536,518,136,923,877,229,546,273
322,65,302,240,578,969,355,699,619,108
610,139,684,417,647,898,956,661,268,221
534,963,869,287,537,286,611,389,737,825
215,739,768,429,789,505,519,557,199,384
661,697,908,332,193,54,777,238,37,640
666,430,387,808,892,593,16,956,890,36
401,40,489,463,305,274,47,365,494,92
665,232,498,23,912,172,76,350,830,825
559,399,511,790,973,803,920,926,876,648
95,264,199,393,649,162,419,861,841,716
169,115,895,119,817,450,545,808,517,841
339,228,469,31,597,381,12,859,636,749
204,635,431,257,183,424,27,557,502,179
282,361,723,441,823,105,942,568,33,643
165,309,691,620,390,153,571,562,471,365
892,808,620,623,795,559,68,373,416,783
764,720,879,504,568,942,217,411,518,345
975,454,480,779,308,565,844,239,355,995
771,609,397,619,846,770,657,671,501,162
412,631,208,394,436,10,235,52,588,679
507,898,596,477,580,797,924,751,732,493
583,876,831,442,174,309,853,44,557,413
696,952,332,16,440,139,414,72,100,117
822,904,654,351,511,845,746,625,71,205
954,164,602,832,662,449,674,944,439,567
345,630,782,670,605,379,249,639,888,354
452,205,324,623,94,733,551,567,759,720
286,745,120,583,388,420,637,796,807,904
16,974,473,700,477,246,89,646,978,395
833,209,181,674,773,666,948,256,299,824
786,376,720,279,905,178,903,745,63,96
939,451,812,678,10,633,305,515,921,677
493,825,918,617,315,847,886,195,281,159
894,925,432,32,499,202,754,870,12,315
398,697,599,813,886,493,322,634,594,547
463,953,266,629,762,210,979,623,820,279
386,655,360,545,941,866,250,818,261,242
632,816,943,582,580,583,243,978,982,931
118,60,323,230,973,34,136,316,943,978
62,560,700,17,756,877,533,988,533,622
208,711,216,553,183,814,315,10,591,60
869,426,769,214,944,188,24,37,558,434
970,134,541,306,196,618,170,940,157,963
899,119,958,685,717,397,978,241,731,200
750,358,554,802,878,467,983,721,414,252
279,575,542,785,876,408,710,690,684,948
632,394,28,140,598,958,569,878,722,377
819,178,745,828,991,988,162,93,75,652
588,303,823,420,447,377,996,230,962,802
358,933,878,215,981,887,296,681,460,755
382,371,243,714,716,886,925,80,919,32
409,179,531,216,86,582,247,853,832,796
249,734,398,69,364,525,567,137,663,753
109,958,952,148,318,128,476,354,262,728
28,812,271,495,92,308,24,570,860,684
917,231,699,198,788,966,167,210,314,448
307,275,773,106,536,487,100,806,166,398
287,739,762,830,188,229,601,771,119,353
475,449,76,453,772,593,757,260,608,429
938,237,373,151,390,825,529,478,733,718
307,606,471,334,51,757,77,745,293,462
885,417,897,227,187,956,484,299,550,405
848,217,376,486,495,981,871,610,760,588
914,666,860,962,74,777,567,100,484,467
18,230,348,100,281,835,347,694,181,937
53,608,11,679,598,797,330,327,567,540
413,213,302,957,647,628,118,494,289,671
329,918,783,472,108,651,206,547,331,739
983,300,415,541,409,688,626,468,489,404
147,164,19,641,786,402,520,657,18,884
103,693,916,95,684,744,982,677,695,227
73,207,183,45,344,378,568,764,78,701
62,373,206,284,65,328,153,119,524,889
122,137,506,903,87,619,259,419,879,807
755,32,533,956,641,39,879,140,954,675
625,258,188,412,386,875,888,234,583,430
985,844,737,256,619,108,57,412,487,536
864,763,112,20,18,389,691,800,322,215
580,654,777,97,166,731,314,842,59,987
326,363,824,101,944,967,758,382,460,963
871,116,950,225,152,518,599,206,892,576
463,593,31,225,553,656,668,175,897,662
17,651,362,29,907,457,359,862,77,950
96,716,497,814,413,274,752,110,329,768
138,718,684,997,544,241,755,212,496,832
966,99,491,832,51,100,748,601,877,318
325,294,798,406,304,935,762,470,98,848
532,190,965,745,862,407,448,824,804,483
250,299,745,259,649,821,780,480,580,726
553,389,447,223,394,422,795,34,333,149
891,73,593,850,731,765,934,51,477,984
334,160,343,791,917,27,792,554,745,775
306,252,165,351,695,371,287,481,38,125
209,958,891,64,108,858,602,598,471,558
123,46,26,73,124,844,961,246,660,979
620,456,834,579,737,736,953,522,943,335
831,270,793,299,562,878,283,469,414,874
511,919,218,498,220,101,541,836,596,694
835,697,882,29,548,94,602,753,823,43
732,276,210,888,697,959,701,369,685,657
679,610,756,213,926,468,659,506,977,213
551,220,480,671,847,60,522,513,481,650
742,222,545,28,504,389,85,622,444,446
41,866,787,410,457,389,580,727,874,231
382,254,479,581,958,607,841,399,729,467
51,618,661,626,64,27,801,628,647,348
882,886,20,67,529,273,739,338,734,674
436,718,648,294,110,525,505,14,863,521
51,72,475,873,765,533,835,329,487,503
621,473,899,742,946,264,511,763,769,657
967,357,669,44,941,983,145,930,26,573
344,174,968,544,687,222,855,342,219,180
259,672,551,885,991,110,666,412,57,341
541,226,207,308,295,84,150,432,150,369
68,524,989,437,393,531,414,994,365,631
845,27,703,767,704,350,652,306,537,476
709,923,910,600,54,558,226,929,694,163
982,16,860,428,637,559,32,462,328,248
34,683,591,695,779,312,427,112,936,364
927,760,284,11,809,275,712,681,411,395
101,561,732,230,374,643,211,507,130,427
428,879,802,241,901,759,522,914,760,374
438,910,150,692,945,140,128,131,309,421
467,533,917,290,244,279,365,380,933,871
347,965,557,816,100,785,65,681,952,703
590,346,371,537,685,879,443,770,639,85
134,377,106,502,323,827,162,681,735,828
915,828,24,146,306,558,979,528,544,921
983,17,90,206,63,911,486,395,286,135
806,536,437,92,378,228,162,127,61,393
823,196,521,595,34,549,582,736,144,577
819,767,554,92,51,790,768,207,537,723
856,127,698,450,828,891,480,658,376,417
64,401,823,904,12,74,95,978,622,878
911,239,874,984,800,507,62,187,880,409
411,620,121,490,677,885,643,551,246,266
796,903,233,162,253,404,110,204,59,595
807,91,632,913,447,403,932,309,368,244
694,988,439,761,431,120,878,761,404,987
126,536,432,857,156,485,534,206,190,23
549,351,958,547,975,705,958,913,541,126
945,951,72,783,257,527,161,215,930,828
195,197,108,812,712,544,554,806,800,242
911,955,180,542,909,142,540,438,380,119
649,640,802,194,916,23,316,185,593,721
484,112,710,268,103,87,111,798,566,674
163,434,202,797,824,88,922,483,731,731
384,215,681,998,59,185,569,907,253,337
57,546,726,200,76,706,829,43,707,630
565,289,391,56,925,174,160,738,879,481
668,731,705,852,464,350,662,777,963,251
856,14,587,12,404,173,541,627,144,154
582,305,36,911,538,621,620,498,208,844
427,637,652,545,689,90,368,721,369,81
477,273,110,150,154,933,938,26,18,834
653,103,403,307,489,581,807,530,444,51
433,690,135,970,785,133,125,787,189,936
478,27,866,162,496,663,839,199,275,21
860,891,886,520,431,488,398,493,10,471
788,161,230,769,11,382,325,709,406,454
738,462,603,47,449,906,600,473,112,930
640,119,540,982,511,61,779,13,165,965
405,67,838,876,145,26,230,653,425,585
318,481,99,241,597,431,310,154,405,603
532,699,880,116,112,857,885,982,516,576
697,779,403,143,332,883,644,671,362,594
425,379,591,173,701,487,329,357,487,553
342,574,846,449,44,314,807,583,527,901
145,694,998,131,587,183,299,799,717,404
252,866,563,985,385,722,725,56,327,38
708,362,450,902,747,163,435,369,420,418
951,894,153,679,715,15,901,325,213,904
867,666,49,252,239,874,820,691,374,833
580,857,483,73,139,110,482,104,591,747
615,200,373,567,534,771,49,556,145,367
936,390,784,730,454,251,478,178,322,91
369,479,535,829,482,980,792,441,703,307
357,410,547,378,993,53,384,147,222,60
133,351,547,147,615,886,156,962,269,157
781,538,691,435,259,351,198,106,288,850
84,234,982,948,631,865,491,933,137,664
373,229,498,711,112,547,377,508,763,801
541,274,68,850,868,688,764,311,125,580
901,473,816,944,360,172,154,896,674,904
597,687,499,224,335,100,488,98,144,277
624,962,933,933,667,979,660,247,938,874
929,317,447,148,189,214,987,700,345,776
317,249,188,870,719,624,527,703,795,10
577,931,380,872,248,569,991,484,507,813
61,534,798,927,905,930,656,197,289,471
494,425,566,858,241,651,148,122,613,78
989,575,649,174,270,438,132,20,713,640
283,912,15,621,86,688,453,970,117,76
464,86,136,785,770,675,649,799,718,886
840,285,134,863,267,465,894,343,362,467
788,424,28,503,700,578,505,661,900,866
190,825,452,371,345,365,756,211,839,396
35,553,877,861,222,531,973,94,587,371
139,445,360,135,265,857,747,700,576,376
538,889,643,142,545,59,843,337,875,755
845,521,131,463,890,952,614,56,602,768
53,578,741,372,570,761,251,890,986,627
330,196,179,822,469,846,483,396,515,972
458,731,93,118,311,565,593,385,643,909
188,491,398,341,632,892,905,802,113,327
805,854,727,25,502,466,709,57,713,325
272,465,177,200,63,233,32,563,247,266
840,64,241,255,563,601,559,297,655,123
893,330,704,177,372,942,560,229,851,935
915,285,812,226,543,820,414,395,870,665
502,130,410,508,427,654,514,186,822,217
950,122,300,874,47,775,934,800,211,584
602,376,262,664,972,685,93,182,714,584
173,851,848,873,618,755,201,574,944,93
420,196,21,166,338,204,380,498,136,81
140,913,881,868,997,985,286,268,38,241
259,754,596,51,146,400,322,460,683,289
597,758,538,927,455,809,847,157,572,911
255,910,337,327,110,924,657,124,18,914
202,969,745,255,957,674,514,754,218,997
355,728,258,467,233,437,306,528,465,775
273,414,877,103,91,490,102,128,524,686
695,277,320,326,347,266,35,372,442,604
415,264,556,687,674,915,457,416,922,47
61,141,102,73,11,782,158,43,908,619
232,382,932,416,831,86,19,677,615,510
542,366,809,419,116,524,758,90,475,278
602,436,939,992,492,832,565,649,531,849
988,933,841,775,181,825,495,40,826,49
91,496,949,835,989,769,73,968,535,53
854,765,758,578,178,744,804,139,734,689
939,655,739,39,753,124,58,637,715,688
399,300,377,259,175,794,223,94,210,212
603,220,350,394,301,417,213,36,449,178
777,804,373,421,268,661,974,657,853,487
905,737,132,470,69,778,65,739,657,182
298,12,385,169,626,736,149,727,395,484
652,717,836,954,573,703,127,888,326,798
131,621,485,377,925,30,533,802,384,867
478,620,321,437,792,828,934,209,595,702
562,108,373,709,627,706,837,93,76,857
890,606,973,46,735,322,670,42,709,590
571,352,22,127,268,362,400,642,352,760
327,520,963,217,906,484,313,668,16,950
778,291,332,707,640,104,152,591,776,258
832,956,591,557,232,781,406,28,841,302
111,481,422,597,557,426,529,91,487,888
961,811,542,487,233,943,545,414,457,845
922,272,898,235,561,982,889,361,347,68
396,83,498,339,824,673,286,951,277,832
87,961,676,623,812,868,463,580,438,925
197,685,338,656,722,248,60,744,157,29
835,786,196,583,237,528,622,702,301,495
488,503,317,486,982,675,605,409,501,760
446,16,982,163,907,100,946,122,582,25
773,298,499,504,803,449,982,130,772,949
436,803,496,176,966,651,771,377,302,335
527,906,974,835,845,582,818,674,510,843
894,716,633,819,976,20,91,562,684,675
653,698,665,403,928,757,397,914,116,208
964,151,766,953,733,445,821,779,263,624
572,651,207,33,980,165,995,187,205,243
921,680,719,642,981,917,194,428,319,549
515,655,418,222,921,505,913,798,199,891
74,701,827,692,953,15,688,539,121,838
831,601,514,638,481,358,593,646,104,787
905,311,453,702,712,76,272,380,39,24
873,423,749,839,795,276,137,176,257,430
536,181,508,480,890,67,25,985,191,692
672,814,703,779,147,957,679,487,776,614
874,216,486,24,274,606,864,398,957,339
53,571,747,361,425,923,374,990,227,653
980,451,656,964,233,847,819,825,965,379
728,186,755,507,971,564,254,964,369,858
531,372,819,995,831,593,592,358,250,460
509,235,690,325,748,389,348,753,879,85
357,525,471,625,746,655,189,687,214,701
140,216,306,770,954,925,328,237,17,614
931,261,400,594,507,679,398,324,280,577
859,924,240,229,572,542,537,896,74,179
241,292,673,812,247,789,619,902,512,196
462,836,667,918,568,685,376,276,82,177
637,878,804,724,707,985,972,352,90,799
427,968,945,371,27,470,133,743,778,690
452,942,585,247,723,78,767,904,661,935
531,28,118,522,899,132,427,449,209,134
35,114,715,999,249,950,105,71,764,246
422,701,534,781,488,456,90,602,89,827
869,95,637,153,874,925,344,666,113,344
908,311,775,970,744,707,82,303,940,347
466,917,261,326,532,35,141,752,203,560
158,717,437,752,423,577,932,611,256,407
230,237,776,154,200,90,827,239,554,236
345,113,417,556,436,930,357,597,894,227
55,28,257,244,869,895,768,953,924,398
302,85,946,107,202,290,557,874,367,237
240,172,428,76,672,962,832,330,823,44
612,50,27,120,923,140,526,735,726,281
850,839,823,235,660,196,151,609,896,445
875,703,923,620,990,470,743,882,116,325
389,547,505,809,708,794,575,340,981,689
623,41,199,916,423,66,951,135,74,81
769,926,53,769,808,71,898,585,182,567
616,917,774,286,565,232,187,527,895,416
599,96,229,439,624,800,890,749,803,648
774,429,294,734,388,598,660,541,825,925
930,556,38,528,179,337,250,114,848,398
50,519,282,336,60,541,776,53,115,105
976,251,719,467,704,139,789,890,297,357
979,958,156,495,77,555,562,915,363,714
533,776,793,780,13,138,333,449,333,236
422,263,383,112,276,136,450,424,775,387
354,918,291,642,726,741,779,178,427,796
894,746,732,696,270,304,683,592,151,172
64,990,321,610,530,712,763,177,223,84
330,481,14,76,475,366,989,416,230,753
141,354,429,369,692,204,707,185,227,461
794,986,406,776,418,629,867,743,615,305
94,270,594,332,528,152,43,91,527,115
44,949,149,947,946,93,958,421,772,501
482,654,390,215,489,406,844,146,986,947
538,19,66,622,327,871,864,679,34,429
974,838,602,326,608,637,661,211,787,796
305,77,342,346,770,686,107,184,588,511
20,387,179,465,60,365,827,693,998,654
575,857,991,218,506,334,889,946,196,716
870,558,537,173,946,742,581,707,600,116
667,875,486,824,116,31,926,414,732,351
268,695,880,870,166,711,237,842,673,218
440,825,73,238,895,532,392,148,309,389
244,824,272,386,767,830,782,699,557,709
88,307,267,19,395,712,690,311,673,685
449,358,197,798,57,787,16,110,796,587
651,967,951,441,143,276,263,344,82,785
789,391,648,871,542,461,287,727,686,312
312,344,604,396,914,82,74,367,301,115
173,457,441,576,651,210,537,127,318,870
111,595,486,16,782,433,379,773,523,210
244,746,390,201,120,69,175,785,62,837
898,519,980,900,565,310,809,339,592,770
600,240,637,432,328,537,263,552,141,89
416,620,708,422,216,154,117,887,860,872
576,135,699,781,425,424,299,704,149,43
627,894,513,719,783,615,131,191,518,68
241,968,912,928,71,198,733,182,952,672
134,195,951,643,30,924,614,454,285,263
314,322,53,997,715,869,967,265,495,432
501,878,443,227,380,293,365,312,434,388
678,690,141,125,590,186,116,874,515,819
